,pop_id,pop_name,Strategic Bisnis Unit,Jenis PoP,Lokasi,Perangkat,Tahun,Mitra Perlaksana,Jumlah,Harga Satuan,BAPS,BASMP,Nilai,NOTES
10,POP_1SBY10002,POP_1SBY10002_KALISARI GI SHELTER PLN,Jawa Tengah,Shelter,POP_1SBY10002_KALISARI GI SHELTER PLN,RECT 9 Slot,2023,PT Abacus Kencana Industri,1,41038970,Kelengkapan Instalasi,Belum,41038970.0,SWAP
11,POP_1PLK001,POP_1PLK001_PALANGKARAYA AREA SHELTER PLN,Kalimantan,Shelter,POP_1PLK001_PALANGKARAYA AREA SHELTER PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,2,15330000,Kelengkapan Instalasi,Belum,30660000.0,SWAP
12,POP_1PLI002,POP_1PLI002_PELAIHARI GI PLN,Kalimantan,Building,POP_1PLI002_PELAIHARI GI PLN,Inverter 1 KVA,2023,PT Abacus Kencana Industri,1,7040000,Kelengkapan Instalasi,Belum,7040000.0,SWAP
13,POP_1SMR008,POP_1SMR008_PUPR MIKRO ODC,Kalimantan,Micro POP,POP_1SMR008_PUPR MIKRO ODC,EA ODC,2023,PT Abacus Kencana Industri,1,25800000,Kelengkapan Instalasi,Belum,25800000.0,SWAP
14,POP_1SMR006,POP_1SMR006_DINAS PERPUSTAKAAN SAMARINDA MICRO POP,Kalimantan,Micro POP,POP_1SMR006_DINAS PERPUSTAKAAN SAMARINDA MICRO POP,EA ODC,2023,PT Abacus Kencana Industri,1,25800000,Kelengkapan Instalasi,Belum,25800000.0,SWAP
15,POP_1BDG011,POP_1BDG011_CIGERELENG ACC SHELTER PLN,Jawa Barat,Shelter,POP_1BDG011_CIGERELENG ACC SHELTER PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,19783660,Kelengkapan Instalasi,Belum,19783660.0,SWAP
16,POP_1CKG015,POP_1CKG015_PULOGADUNG PLC GI PLN,Jakarta & Banten,Building,POP_1CKG015_PULOGADUNG PLC GI PLN,RECT 2U,2022,PT Metaplas Harmoni,1,26755960,,,26755960.0,
17,POP_1CBI006,POP_1CBI006_CIBINONG GI PLN,Jakarta & Banten,Building,POP_1CBI006_CIBINONG GI PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,1,14935070,Kelengkapan Instalasi,Belum,14935070.0,SWAP
18,POP_1CJR003,POP_1CJR003_CIANJUR LAMA APJ PLN,Jawa Barat,Building,POP_1CJR003_CIANJUR LAMA APJ PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,1,14935070,Kelengkapan Instalasi,Belum,14935070.0,SWAP
19,POP_1CJR003,POP_1CJR003_CIANJUR LAMA APJ PLN,Jawa Barat,Building,POP_1CJR003_CIANJUR LAMA APJ PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,19783660,Kelengkapan Instalasi,Belum,19783660.0,SWAP
20,POP_1BDG003,POP_1BDG003_BANDUNG TIMUR UPJ PLN,Jawa Barat,Building,POP_1BDG003_BANDUNG TIMUR UPJ PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,1,14935070,Kelengkapan Instalasi,Belum,14935070.0,SWAP
21,POP_1BDG003,POP_1BDG003_BANDUNG TIMUR UPJ PLN,Jawa Barat,Building,POP_1BDG003_BANDUNG TIMUR UPJ PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,19783660,Kelengkapan Instalasi,Belum,19783660.0,SWAP
22,POP_1DPR001,POP_1DPR001_BALI APD / DENPASAR APD PLN,Balinusra,Building,POP_1DPR001_BALI APD / DENPASAR APD PLN,RECT 9 Slot,2023,PT Abacus Kencana Industri,1,41038970,Kelengkapan Instalasi,Belum,41038970.0,SWAP
23,POP_1CKG005,POP_1CKG005_CIPINANG GIS PLN,Jakarta & Banten,Building,POP_1CKG005_CIPINANG GIS PLN,RECT 2U,2022,PT Metaplas Harmoni,1,26755960,,,26755960.0,
24,POP_1IDM003,POP_1IDM003_HAURGEULIS GI PLN,Jawa Barat,Building,POP_1IDM003_HAURGEULIS GI PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,19783660,Kelengkapan Instalasi,Belum,19783660.0,SWAP
25,POP_1KDI001,POP_1KDI001_KENDARI AREA PLN,Sulawesi,Building,POP_1KDI001_KENDARI AREA PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,26310000,Kelengkapan Instalasi,Belum,26310000.0,SWAP
26,POP_1KDI001,POP_1KDI001_KENDARI AREA PLN,Sulawesi,Building,POP_1KDI001_KENDARI AREA PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,1,15330000,Kelengkapan Instalasi,Belum,15330000.0,SWAP
27,POP_1TGR019,POP_1TGR019_CURUG GUDANG PLN MINI POP,Jakarta & Banten,Mini ODC,POP_1TGR019_CURUG GUDANG PLN MINI POP,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,1,14935070,Kelengkapan Instalasi,Belum,14935070.0,SWAP
28,POP_1SKW002,POP_1SKW002_SINGKAWANG UP3 MINI POP PLN,Kalimantan,Mini POP,POP_1SKW002_SINGKAWANG UP3 MINI POP PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,26310000,Kelengkapan Instalasi,Belum,26310000.0,SWAP
29,POP_1BLU001,POP_1BLU001_MOLIBAGU ULP MIKRO POP PLN,Sulawesi,Micro POP,POP_1BLU001_MOLIBAGU ULP MIKRO POP PLN,EA ODC,2023,PT Abacus Kencana Industri,1,25800000,Kelengkapan Instalasi,Belum,25800000.0,SWAP
30,POP_1SKH10012,POP_1SKH10012_GROGOL ULP ODC PLN,Jawa Tengah,ODC,POP_1SKH10012_GROGOL ULP ODC PLN,EA Shelter ,2023,PT Abacus Kencana Industri,1,14545460,Kelengkapan Instalasi,Belum,14545460.0,SWAP
31,POP_1RTA003,POP_1RTA003_BINUANG ULP PLN,Kalimantan,Building,POP_1RTA003_BINUANG ULP PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,26310000,Kelengkapan Instalasi,Belum,26310000.0,SWAP
32,POP_1PRN002,POP_1PRN002 PARINGIN ULP PLN,Kalimantan,Building,POP_1PRN002 PARINGIN ULP PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,26310000,Kelengkapan Instalasi,Belum,26310000.0,SWAP
33,POP_1SRG013,POP_1SRG013_SERANG APJ SHELTER PLN,Jakarta & Banten,Shelter,POP_1SRG013_SERANG APJ SHELTER PLN,GENSET 20KVA,2023,PT Abacus Kencana Industri,1,157142860,Kelengkapan Instalasi,Belum,157142860.0,SWAP
34,POP_1CPT011,POP_1CPT011_BINTARO GIS SHELTER PLN,Jakarta & Banten,,POP_1CPT011_BINTARO GIS SHELTER PLN,RECT 2U,2022,PT Metaplas Harmoni,1,26755960,,,26755960.0,
35,POP_1CPT011,POP_1CPT011_BINTARO GIS SHELTER PLN,Jakarta & Banten,,POP_1CPT011_BINTARO GIS SHELTER PLN,BATT. LITHIUM 100AH ,2022,PT Metaplas Harmoni,2,18531700,,,37063400.0,
36,POP_1TGR008,POP_1TGR008_CITRA HABITAT GI SHELTER PLN,Jakarta & Banten,Shelter,POP_1TGR008_CITRA HABITAT GI SHELTER PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,1,14935070,Kelengkapan Instalasi,Belum,14935070.0,SWAP
37,POP_1UNR008,POP_1UNR008_UNGARAN 2 GI SHELTER PLN,Jawa Tengah,Shelter,POP_1UNR008_UNGARAN 2 GI SHELTER PLN,Genset 50 KVA,2023,PT Abacus Kencana Industri,1,193506500,Kelengkapan Instalasi,Belum,193506500.0,SWAP
38,POP_1TGT003,POP_1TGT003_KOMAM GI PLN,Kalimantan,Building,POP_1TGT003_KOMAM GI PLN,Inverter 1 KVA,2023,PT Abacus Kencana Industri,1,7040000,Kelengkapan Instalasi,Belum,7040000.0,SWAP
39,POP_1WAT001,POP_1WAT001_WATES GI SHELTER PLN,Jawa Tengah,Shelter,POP_1WAT001_WATES GI SHELTER PLN,EA Shelter ,2023,PT Abacus Kencana Industri,1,14545460,Kelengkapan Instalasi,Belum,14545460.0,SWAP
40,POP_1PWK004,POP_1PWK004_PURWAKARTA GI SHELTER PLN,Jawa Barat,Shelter,POP_1PWK004_PURWAKARTA GI SHELTER PLN,RECT 2U,2023,PT Abacus Kencana Industri,1,19783660,Kelengkapan Instalasi,Belum,19783660.0,SWAP
41,POP_1KLN001,POP_1KLN001_PEDAN GI SHELTER PLN,Jawa Tengah,Shelter,POP_1KLN001_PEDAN GI SHELTER PLN,EA Shelter ,2023,PT Abacus Kencana Industri,1,14545460,Kelengkapan Instalasi,Belum,14545460.0,SWAP
42,POP_1KLK002,POP_1KLK002_SELAT KAPUAS GI SHELTER PLN,Kalimantan,Shelter,POP_1KLK002_SELAT KAPUAS GI SHELTER PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,2,15330000,Kelengkapan Instalasi,Belum,30660000.0,SWAP
43,POP_1SMN003,POP_1SMN003_KENTUNGAN GI SHELTER PLN,Jawa Tengah,Shelter,POP_1SMN003_KENTUNGAN GI SHELTER PLN,EA Shelter ,2023,PT Abacus Kencana Industri,1,14545460,Kelengkapan Instalasi,Belum,14545460.0,SWAP
44,POP_1SMN003,POP_1SMN003_KENTUNGAN GI SHELTER PLN,Jawa Tengah,Shelter,POP_1SMN003_KENTUNGAN GI SHELTER PLN,RECT 9 Slot,2023,PT Abacus Kencana Industri,1,41038970,Kelengkapan Instalasi,Belum,41038970.0,SWAP
45,POP_1PWT002,POP_1PWT002_RAWALO GI SHELTER PLN,Jawa Tengah,Shelter,POP_1PWT002_RAWALO GI SHELTER PLN,EA Shelter ,2023,PT Abacus Kencana Industri,1,14545460,Kelengkapan Instalasi,Belum,14545460.0,SWAP
46,POP_1KBM003,POP_1KBM003_KEBUMEN GI SHELTER,Jawa Tengah,Shelter,POP_1KBM003_KEBUMEN GI SHELTER,EA Shelter ,2023,PT Abacus Kencana Industri,1,14545460,Kelengkapan Instalasi,Belum,14545460.0,SWAP
47,POP_1PLG004,POP_1PLG004_BUNGARAN GI SHELTER PLN,Sumatera Bagian Selatan,Shelter,POP_1PLG004_BUNGARAN GI SHELTER PLN,BATT. LITHIUM 100AH ,2023,PT Abacus Kencana Industri,1,15330000,Kelengkapan Instalasi,Belum,15330000.0,SWAP
